duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,model
0.980833,4.050476,3.246521,0.008728,0.699646,500b,resnet50
1.089765,4.246948,3.436646,0.008484,0.755676,500b,resnet50
1.106217,4.148499,3.428772,0.008484,0.750671,500b,resnet50
0.976779,4.229370,3.460999,0.008545,0.724182,500b,resnet50
0.993143,4.268188,3.409546,0.008484,0.709106,500b,resnet50
0.990519,3.981995,3.267700,0.005005,0.687805,500b,resnet50
0.905036,3.973450,3.234741,0.009766,0.652710,500b,resnet50
0.972091,4.010559,3.284912,0.004883,0.679810,500b,resnet50
1.015980,4.159668,3.331604,0.008362,0.722229,500b,resnet50
1.070167,4.385254,3.490540,0.011536,0.757507,500b,resnet50
0.883982,3.830994,3.156616,0.004578,0.623779,500b,resnet50
0.991062,4.133789,3.321960,0.009094,0.707703,500b,resnet50
0.988888,4.053467,3.280701,0.008850,0.709229,500b,resnet50
0.988010,3.999329,3.227356,0.004639,0.687866,500b,resnet50
0.988705,4.096008,3.296326,0.008118,0.702271,500b,resnet50
0.990769,3.867432,3.195740,0.008118,0.680725,500b,resnet50
1.194159,4.439636,3.524475,0.007812,0.820679,500b,resnet50
0.994310,4.145142,3.332092,0.009583,0.714417,500b,resnet50
0.986669,4.097229,3.307556,0.009949,0.698059,500b,resnet50
1.340076,4.822327,3.729553,0.009338,0.902771,500b,resnet50
1.049294,4.403381,3.561646,0.009827,0.749207,500b,resnet50
0.988315,3.978088,3.236206,0.004639,0.686096,500b,resnet50
0.992558,4.109436,3.297119,0.009888,0.707520,500b,resnet50
1.114499,4.250610,3.399536,0.008606,0.770081,500b,resnet50
0.990653,3.986633,3.252319,0.003601,0.685364,500b,resnet50
0.986055,3.960510,3.193542,0.007385,0.696533,500b,resnet50
0.993384,4.142456,3.326233,0.012512,0.717102,500b,resnet50
0.970084,4.055542,3.259521,0.004761,0.676331,500b,resnet50
1.086305,4.062256,3.356506,0.004761,0.732056,500b,resnet50
1.012230,4.097656,3.314331,0.007874,0.713074,500b,resnet50
0.966662,4.445984,3.652588,0.009399,0.690063,500b,resnet50
1.011883,4.058716,3.305603,0.005127,0.700012,500b,resnet50
0.974545,4.290283,3.406982,0.008972,0.704529,500b,resnet50
0.983670,4.008728,3.245911,0.008667,0.693176,500b,resnet50
1.091633,4.187927,3.371582,0.008301,0.753418,500b,resnet50
1.091191,4.181885,3.339233,0.007385,0.758484,500b,resnet50
0.989166,4.028137,3.212524,0.007690,0.704224,500b,resnet50
1.090967,4.239502,3.391907,0.008301,0.762329,500b,resnet50
0.881997,3.769470,3.084167,0.004089,0.625732,500b,resnet50
1.013017,4.415710,3.559326,0.010071,0.753052,500b,resnet50
0.978692,4.035645,3.295410,0.007324,0.697754,500b,resnet50
0.983576,4.020142,3.240906,0.004761,0.690491,500b,resnet50
0.990072,4.017822,3.231018,0.009033,0.701294,500b,resnet50
0.989497,4.050415,3.253052,0.009094,0.698242,500b,resnet50
1.101815,4.387634,3.559082,0.008301,0.768188,500b,resnet50
0.878912,3.768066,3.071228,0.004272,0.627319,500b,resnet50
1.009404,4.116455,3.305603,0.010071,0.707703,500b,resnet50
0.972552,3.936340,3.172363,0.003540,0.675964,500b,resnet50
0.885680,3.882874,3.169434,0.010010,0.639832,500b,resnet50
0.897457,3.754395,3.091980,0.004150,0.629944,500b,resnet50
0.978794,4.050598,3.244873,0.010254,0.690308,500b,resnet50
1.094247,4.226440,3.401978,0.008728,0.758606,500b,resnet50
2.047813,6.017578,4.577515,0.013184,1.339172,500b,resnet50
1.099922,4.368530,3.460022,0.009827,0.771301,500b,resnet50
0.959519,3.805237,3.157837,0.009827,0.655273,500b,resnet50
0.982856,4.030762,3.272339,0.008911,0.692444,500b,resnet50
0.989329,4.077026,3.268860,0.009644,0.704102,500b,resnet50
0.966129,3.963928,3.248474,0.004639,0.675476,500b,resnet50
0.935103,4.054077,3.293396,0.010010,0.666138,500b,resnet50
0.965186,4.048035,3.303345,0.007141,0.681335,500b,resnet50
0.882079,3.829346,3.089111,0.005554,0.631165,500b,resnet50
0.998300,4.238953,3.425903,0.008850,0.707336,500b,resnet50
0.983244,3.986389,3.247192,0.004211,0.680481,500b,resnet50
0.889821,3.892029,3.156799,0.008362,0.644592,500b,resnet50
1.000367,4.111633,3.330139,0.004761,0.692993,500b,resnet50
0.976476,3.993713,3.200317,0.009521,0.695190,500b,resnet50
0.990654,4.014038,3.242004,0.009277,0.702637,500b,resnet50
0.989191,4.055664,3.357483,0.009277,0.702026,500b,resnet50
0.913120,4.361694,3.515320,0.013550,0.694031,500b,resnet50
0.890316,4.137329,3.351013,0.009827,0.647949,500b,resnet50
0.975958,4.211609,3.414185,0.007629,0.700256,500b,resnet50
0.980843,4.099731,3.258667,0.013733,0.705078,500b,resnet50
0.991492,3.991577,3.241638,0.004395,0.687744,500b,resnet50
0.982557,4.190186,3.417175,0.008423,0.707458,500b,resnet50
0.996075,4.154846,3.351501,0.009155,0.709778,500b,resnet50
0.979988,4.010132,3.273682,0.005066,0.682251,500b,resnet50
0.989966,4.098206,3.308655,0.008850,0.703003,500b,resnet50
1.016899,4.109802,3.328125,0.008179,0.715149,500b,resnet50
0.967301,4.071533,3.304199,0.004211,0.680481,500b,resnet50
0.892153,4.288269,3.562744,0.008057,0.645569,500b,resnet50
0.769395,3.489441,2.958313,0.008057,0.546997,500b,resnet50
0.914706,4.006592,3.276245,0.009644,0.661194,500b,resnet50
0.994894,4.262939,3.437683,0.006897,0.714050,500b,resnet50
0.960238,3.884399,3.177368,0.003235,0.669495,500b,resnet50
0.890613,4.046936,3.316223,0.009216,0.652832,500b,resnet50
0.904125,3.903870,3.203857,0.004395,0.636902,500b,resnet50
0.970053,4.145996,3.284546,0.009094,0.692444,500b,resnet50
4.962481,31.567566,26.554260,0.079041,3.564941,500b,resnet18
0.889950,4.125122,3.322327,0.033997,0.676819,500b,resnet18
0.798539,3.333313,2.575073,0.053101,0.615967,500b,resnet18
0.904555,3.786438,2.870911,0.040771,0.673035,500b,resnet18
0.910634,3.448181,2.619385,0.055237,0.682495,500b,resnet18
0.805182,3.193481,2.471436,0.042786,0.607117,500b,resnet18
1.028563,3.735901,2.716187,0.055908,0.757690,500b,resnet18
0.784642,3.068237,2.374329,0.044189,0.588013,500b,resnet18
0.816621,3.387756,2.609131,0.048645,0.628418,500b,resnet18
0.898911,4.069702,3.204102,0.043091,0.668579,500b,resnet18
0.802023,3.100281,2.365234,0.042358,0.606628,500b,resnet18
0.802370,3.304260,2.559448,0.034058,0.610596,500b,resnet18
0.910274,3.418152,2.599670,0.041870,0.664062,500b,resnet18
0.806302,3.253967,2.493164,0.052551,0.607849,500b,resnet18
0.818749,3.336182,2.545654,0.041626,0.614990,500b,resnet18
0.900708,3.879333,3.009460,0.053833,0.692383,500b,resnet18
0.799884,3.114441,2.382507,0.033875,0.593506,500b,resnet18
1.014706,3.609802,2.700623,0.054077,0.746704,500b,resnet18
0.909067,3.687195,2.827942,0.042053,0.699341,500b,resnet18
1.421577,4.429077,3.283936,0.066345,0.989441,500b,resnet18
0.905112,3.360962,2.582703,0.037476,0.658386,500b,resnet18
0.913260,3.529602,2.679260,0.058777,0.692261,500b,resnet18
0.806700,3.381531,2.661804,0.040039,0.617126,500b,resnet18
0.810448,3.371338,2.615112,0.043640,0.615051,500b,resnet18
0.903316,3.470459,2.616150,0.048279,0.672607,500b,resnet18
